15541A0443,RT31041,PULSE & DIGITAL CIRCUITS,25,22,0
15541A0443,RT31043,CONTROL SYSTEMS,22,14,0
15541A0454,RT31041,PULSE & DIGITAL CIRCUITS,28,28,3
15541A0455,RT31045,ANTENNAS AND WAVE PROPAGATION,29,21,0
15541A0460,RT31041,PULSE & DIGITAL CIRCUITS,23,23,0
15541A0464,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,18,32,3
15541A0464,RT31043,CONTROL SYSTEMS,21,30,3
15541A0464,RT31045,ANTENNAS AND WAVE PROPAGATION,23,30,3
15541A0468,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,21,19,0
15541A0468,RT31045,ANTENNAS AND WAVE PROPAGATION,20,20,0
15541A0469,RT31041,PULSE & DIGITAL CIRCUITS,19,14,0
15541A0469,RT31043,CONTROL SYSTEMS,16,9,0
15541A0469,RT31044,DIGITAL SYSTEM DESIGN & DICA,20,9,0
15541A0469,RT31045,ANTENNAS AND WAVE PROPAGATION,13,-1,0
15541A0470,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,20,19,0
15541A0470,RT31045,ANTENNAS AND WAVE PROPAGATION,18,16,0
15541A0476,RT31041,PULSE & DIGITAL CIRCUITS,19,16,0
15541A0476,RT31043,CONTROL SYSTEMS,16,13,0
15541A0476,RT31044,DIGITAL SYSTEM DESIGN & DICA,20,22,0
15541A0479,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,22,28,3
15541A0479,RT31045,ANTENNAS AND WAVE PROPAGATION,25,20,0
15541A0487,RT31045,ANTENNAS AND WAVE PROPAGATION,18,10,0
15541A0489,RT31043,CONTROL SYSTEMS,19,22,0
15541A0504,RT31051,COMPILER DESIGN,21,19,0
15541A0507,RT31055,OPERATING SYSTEMS,24,6,0
15541A0510,RT31054,DATABASE MANAGEMENT SYSTEMS,21,0,0
15541A0512,RT31051,COMPILER DESIGN,22,-1,0
15541A0517,RT31051,COMPILER DESIGN,20,8,0
15541A0523,RT31054,DATABASE MANAGEMENT SYSTEMS,21,34,3
15541A0524,RT31054,DATABASE MANAGEMENT SYSTEMS,19,-1,0
15541A0524,RT31055,OPERATING SYSTEMS,22,14,0
15541A0525,RT31051,COMPILER DESIGN,19,17,0
15541A0527,RT31054,DATABASE MANAGEMENT SYSTEMS,27,35,3
15541A0541,RT31055,OPERATING SYSTEMS,26,33,3
15541A0544,RT31054,DATABASE MANAGEMENT SYSTEMS,17,29,3
15541A0545,RT31055,OPERATING SYSTEMS,20,18,0
15541A0546,RT31054,DATABASE MANAGEMENT SYSTEMS,18,29,3
15541A0548,RT31052,DATA COMMUNICATION,21,8,0
15541A0548,RT31054,DATABASE MANAGEMENT SYSTEMS,23,30,3
15541A0556,RT31052,DATA COMMUNICATION,19,18,0
15541A0556,RT31054,DATABASE MANAGEMENT SYSTEMS,20,9,0
15541A0556,RT31055,OPERATING SYSTEMS,27,16,0
15541A0560,RT31052,DATA COMMUNICATION,19,16,0
15541A0560,RT31054,DATABASE MANAGEMENT SYSTEMS,21,9,0
15541A0560,RT31055,OPERATING SYSTEMS,15,10,0
15541A0564,RT31054,DATABASE MANAGEMENT SYSTEMS,17,13,0
15541A0564,RT31055,OPERATING SYSTEMS,21,8,0
15541A0567,RT31053,PRINCIPLES OF PROGRAMMING LANGUAGES,16,29,3
15541A0567,RT31054,DATABASE MANAGEMENT SYSTEMS,21,11,0
15541A0568,RT31052,DATA COMMUNICATION,22,22,0
15541A0571,RT31051,COMPILER DESIGN,19,28,3
15541A0571,RT31054,DATABASE MANAGEMENT SYSTEMS,19,13,0
15541A0573,RT31051,COMPILER DESIGN,17,28,3
15541A0573,RT31054,DATABASE MANAGEMENT SYSTEMS,17,12,0
15541A0573,RT31055,OPERATING SYSTEMS,23,0,0
15541A0574,RT31051,COMPILER DESIGN,18,0,0
15541A0574,RT31053,PRINCIPLES OF PROGRAMMING LANGUAGES,18,-1,0
15541A0574,RT31055,OPERATING SYSTEMS,22,0,0
15541A0578,RT31051,COMPILER DESIGN,5,-1,0
15541A0578,RT31052,DATA COMMUNICATION,5,-1,0
15541A0578,RT31053,PRINCIPLES OF PROGRAMMING LANGUAGES,5,-1,0
15541A0578,RT31054,DATABASE MANAGEMENT SYSTEMS,5,-1,0
15541A0578,RT31055,OPERATING SYSTEMS,5,-1,0
15541A0578,RT31056,COMPILER DESIGN LAB,15,-1,0
15541A0578,RT31057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,15,-1,0
15541A0578,RT31058,DATABASE MANAGEMENT SYSTEMS LAB,15,-1,0
15541A0579,RT31051,COMPILER DESIGN,17,28,3
15541A0579,RT31052,DATA COMMUNICATION,21,14,0
15541A0579,RT31054,DATABASE MANAGEMENT SYSTEMS,20,15,0
