13541A0418,RT42041,CELLULAR MOBILE COMMUNICATION,25,34,3
13541A0418,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,23,38,3
13541A0418,RT42043C,EMBEDDED SYSTEMS,24,40,3
13541A0418,RT42044D,BIO-MEDICAL INSTRUMENTATION,22,31,3
13541A0418,RT42045,PROJECT & SEMINAR,58,138,9
13541A0420,RT42041,CELLULAR MOBILE COMMUNICATION,19,33,3
13541A0420,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,16,29,3
13541A0420,RT42043C,EMBEDDED SYSTEMS,18,43,3
13541A0420,RT42044D,BIO-MEDICAL INSTRUMENTATION,21,33,3
13541A0420,RT42045,PROJECT & SEMINAR,55,134,9
13541A0421,RT42041,CELLULAR MOBILE COMMUNICATION,19,27,3
13541A0421,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,17,37,3
13541A0421,RT42043C,EMBEDDED SYSTEMS,22,19,0
13541A0421,RT42044D,BIO-MEDICAL INSTRUMENTATION,20,24,3
13541A0421,RT42045,PROJECT & SEMINAR,57,138,9
13541A0422,RT42041,CELLULAR MOBILE COMMUNICATION,24,41,3
13541A0422,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,24,43,3
13541A0422,RT42043C,EMBEDDED SYSTEMS,20,30,3
13541A0422,RT42044D,BIO-MEDICAL INSTRUMENTATION,27,26,3
13541A0422,RT42045,PROJECT & SEMINAR,58,138,9
13541A0423,RT42041,CELLULAR MOBILE COMMUNICATION,22,24,3
13541A0423,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,20,24,3
13541A0423,RT42043C,EMBEDDED SYSTEMS,20,32,3
13541A0423,RT42044D,BIO-MEDICAL INSTRUMENTATION,22,24,3
13541A0423,RT42045,PROJECT & SEMINAR,57,135,9
13541A0424,RT42041,CELLULAR MOBILE COMMUNICATION,22,32,3
13541A0424,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,20,25,3
13541A0424,RT42043C,EMBEDDED SYSTEMS,22,43,3
13541A0424,RT42044D,BIO-MEDICAL INSTRUMENTATION,24,11,0
13541A0424,RT42045,PROJECT & SEMINAR,56,136,9
13541A0425,RT42041,CELLULAR MOBILE COMMUNICATION,24,34,3
13541A0425,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,21,61,3
13541A0425,RT42043C,EMBEDDED SYSTEMS,22,34,3
13541A0425,RT42044D,BIO-MEDICAL INSTRUMENTATION,26,39,3
13541A0425,RT42045,PROJECT & SEMINAR,55,135,9
13541A0426,RT42041,CELLULAR MOBILE COMMUNICATION,22,36,3
13541A0426,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,21,42,3
13541A0426,RT42043C,EMBEDDED SYSTEMS,23,32,3
13541A0426,RT42044D,BIO-MEDICAL INSTRUMENTATION,24,34,3
13541A0426,RT42045,PROJECT & SEMINAR,58,136,9
13541A0427,RT42041,CELLULAR MOBILE COMMUNICATION,22,24,3
13541A0427,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTATION,21,42,3
13541A0427,RT42043C,EMBEDDED SYSTEMS,23,41,3
13541A0427,RT42044D,BIO-MEDICAL INSTRUMENTATION,23,35,3
