100779,14541A0429,RT32045A,BIO MEDICAL ENGINEERING,16,17,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100780,14541A0433,RT32044,MICROWAVE ENGINEERING,22,30,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100781,14541A0434,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,27,11,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100782,14541A0435,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,21,9,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100783,14541A0435,RT32042,DIGITAL SIGNAL PROCESSING,17,25,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100784,14541A0435,RT32044,MICROWAVE ENGINEERING,19,12,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100785,14541A0435,RT32045A,BIO MEDICAL ENGINEERING,17,24,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100786,14541A0436,RT32042,DIGITAL SIGNAL PROCESSING,25,20,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100787,14541A0437,RT32045A,BIO MEDICAL ENGINEERING,18,25,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100788,14541A0438,RT32044,MICROWAVE ENGINEERING,24,28,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100789,14541A0439,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,20,9,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100790,14541A0439,RT32042,DIGITAL SIGNAL PROCESSING,16,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100791,14541A0439,RT32043,DIGITAL COMMUNICATIONS,21,14,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100792,14541A0439,RT32044,MICROWAVE ENGINEERING,22,15,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100793,14541A0439,RT32045A,BIO MEDICAL ENGINEERING,16,11,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100794,14541A0440,RT32042,DIGITAL SIGNAL PROCESSING,22,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100795,14541A0440,RT32043,DIGITAL COMMUNICATIONS,26,12,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100796,14541A0448,RT32042,DIGITAL SIGNAL PROCESSING,27,37,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100797,14541A0452,RT32042,DIGITAL SIGNAL PROCESSING,24,33,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100798,14541A0454,RT32042,DIGITAL SIGNAL PROCESSING,27,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100799,14541A0456,RT32043,DIGITAL COMMUNICATIONS,25,13,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100800,14541A0458,RT32042,DIGITAL SIGNAL PROCESSING,25,42,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100801,14541A0459,RT32042,DIGITAL SIGNAL PROCESSING,26,36,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100802,14541A0463,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,19,14,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100803,14541A0463,RT32044,MICROWAVE ENGINEERING,18,18,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100804,14541A0472,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,25,30,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100805,14541A0472,RT32043,DIGITAL COMMUNICATIONS,25,14,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100806,14541A0472,RT32044,MICROWAVE ENGINEERING,20,31,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100807,14541A0473,RT32042,DIGITAL SIGNAL PROCESSING,23,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100808,14541A0473,RT32044,MICROWAVE ENGINEERING,20,15,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
100809,14541A0473,RT32045A,BIO MEDICAL ENGINEERING,10,8,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2017
