73119,14545A0415,RT21044,SIGNALS AND SYSTEMS,18,7,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73120,14545A0415,RT21045,ELECTRICAL TECHNOLOGY,17,20,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73121,14545A0416,RT21041,ELECTRONIC DEVICES AND CIRCUITS,17,25,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73122,14545A0416,RT21042,DATA STRUCTURES,18,24,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73123,14545A0416,RT21044,SIGNALS AND SYSTEMS,20,10,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73124,14545A0416,RT21045,ELECTRICAL TECHNOLOGY,17,28,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73125,14545A0501,RT21052,MATHEMATICAL FOUNDATIONS OF COMLUTER SCIENC,20,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73126,14545A0501,RT21053,DIGITAL LOGIC DESIGN,16,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73127,15541A0201,RT21023,BASIC ELECTRONICS AND DEVICES,24,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73128,15541A0202,RT21022,THERMAL AND HYDRO LRIME MOVERS,17,34,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73129,15541A0202,RT21023,BASIC ELECTRONICS AND DEVICES,18,8,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73130,15541A0202,RT21025,ELECTRO MAGNETIC FIELDS,23,16,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73131,15541A0205,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,17,31,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73132,15541A0205,RT21023,BASIC ELECTRONICS AND DEVICES,22,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73133,15541A0206,RT21024,COMPLEX VARIABLES AND STATISTICAL METHODS,19,7,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73134,15541A0206,RT21025,ELECTRO MAGNETIC FIELDS,28,11,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73135,15541A0206,RT21026,ELECTRICAL MACHINES-I,17,18,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73136,15541A0207,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,21,36,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73137,15541A0207,RT21025,ELECTRO MAGNETIC FIELDS,25,11,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73138,15541A0209,RT21023,BASIC ELECTRONICS AND DEVICES,27,29,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73139,15541A0211,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,22,28,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73140,15541A0211,RT21024,COMPLEX VARIABLES AND STATISTICAL METHODS,22,20,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73141,15541A0214,RT21026,ELECTRICAL MACHINES-I,22,31,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73142,15541A0227,RT21025,ELECTRO MAGNETIC FIELDS,28,34,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73143,15541A0228,RT21026,ELECTRICAL MACHINES-I,24,41,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73144,15541A0229,RT21024,COMPLEX VARIABLES AND STATISTICAL METHODS,18,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73145,15541A0230,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,23,37,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73146,15541A0230,RT21022,THERMAL AND HYDRO LRIME MOVERS,22,31,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73147,15541A0231,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,22,34,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73148,15541A0231,RT21023,BASIC ELECTRONICS AND DEVICES,19,16,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73149,15541A0231,RT21024,COMPLEX VARIABLES AND STATISTICAL METHODS,16,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73150,15541A0231,RT21025,ELECTRO MAGNETIC FIELDS,24,8,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73151,15541A0232,RT21023,BASIC ELECTRONICS AND DEVICES,23,29,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73152,15541A0232,RT21026,ELECTRICAL MACHINES-I,18,28,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73153,15541A0233,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,22,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73154,15541A0233,RT21024,COMPLEX VARIABLES AND STATISTICAL METHODS,17,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73155,15541A0233,RT21025,ELECTRO MAGNETIC FIELDS,22,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73156,15541A0236,RT21024,COMPLEX VARIABLES AND STATISTICAL METHODS,22,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73157,15541A0236,RT21026,ELECTRICAL MACHINES-I,24,36,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73158,15541A0237,RT21024,COMPLEX VARIABLES AND STATISTICAL METHODS,18,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73159,15541A0239,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,23,35,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73160,15541A0241,RT21024,COMPLEX VARIABLES AND STATISTICAL METHODS,16,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73161,15541A0241,RT21026,ELECTRICAL MACHINES-I,17,18,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73162,15541A0242,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,22,7,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
