129600,15541A0221,R13204,ENGG. CHEMISTRY,23,39,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129601,15541A0221,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,30,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129602,15541A0224,R13205,C PROGRAMMING,26,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129603,15541A0225,R13204,ENGG. CHEMISTRY,22,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129604,15541A0225,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,27,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129605,15541A0229,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,30,17,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129606,15541A0232,R13210,ENGG. MECHANICS,21,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129607,15541A0234,R13210,ENGG. MECHANICS,20,17,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129608,15541A0234,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,19,31,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129609,15541A0239,R13205,C PROGRAMMING,27,21,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129610,15541A0241,R13202,MATHEMATICS-III,14,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129611,15541A0241,R13205,C PROGRAMMING,20,21,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129612,15541A0242,R13201,ENGLISH-II,23,22,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129613,15541A0242,R13202,MATHEMATICS-III,16,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129614,15541A0242,R13204,ENGG. CHEMISTRY,14,6,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129615,15541A0242,R13205,C PROGRAMMING,22,15,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129616,15541A0242,R13210,ENGG. MECHANICS,17,7,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129617,15541A0242,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,21,9,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129618,15541A0245,R13205,C PROGRAMMING,20,21,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129619,15541A0245,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,19,33,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129620,15541A0246,R13204,ENGG. CHEMISTRY,24,14,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129621,15541A0248,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,23,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129622,15541A0249,R13204,ENGG. CHEMISTRY,16,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129623,15541A0249,R13205,C PROGRAMMING,27,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129624,15541A0249,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,19,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129625,15541A0250,R13205,C PROGRAMMING,22,14,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129626,15541A0250,R13210,ENGG. MECHANICS,19,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129627,15541A0250,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,21,11,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129628,15541A0256,R13204,ENGG. CHEMISTRY,13,13,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129629,15541A0256,R13210,ENGG. MECHANICS,17,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129630,15541A0257,R13202,MATHEMATICS-III,21,14,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129631,15541A0257,R13210,ENGG. MECHANICS,26,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129632,15541A0257,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,19,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129633,15541A0258,R13202,MATHEMATICS-III,20,9,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129634,15541A0258,R13205,C PROGRAMMING,25,21,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
